"host_time_iso","stedgeai_version","model_family","model_variant","hyperparameters","dataset","format","resolution","internal_ram_kib","external_ram_kib","weights_flash_kib","input_buffer_kib","output_buffer_kib","generated_model_dir"
"2026-04-07T06:29:43.029981+00:00","4.0.0","yolo26","yolo26_320_fyp_merged","","FYP-Merged","Int8","320","895.70","0.00","2343.97","300.00","12.30","network/yolo26_320_fyp_merged__int8"
"2026-04-08T04:27:43.303351+00:00","4.0.0","tinyissimoyolo_v8","tinyissimoyolo_v8_320_fyp_merged","","FYP-Merged","Int8","320","700.00","0.00","982.34","300.00","12.30","network/tinyissimoyolo_v8_320_fyp_merged__int8"
