epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,583.579,1.09315,1.74687,0.00822,0.8808,0.72652,0.74464,0.64507,1.50809,2.28971,0.00845,0.000734045,0.000734045,0.000734045
43,597.371,1.10653,1.74891,0.008,0.87881,0.7193,0.74549,0.64681,1.49737,2.25584,0.00833,0.000730887,0.000730887,0.000730887
44,611.178,1.08495,1.74082,0.00806,0.88995,0.71861,0.74866,0.64432,1.45534,2.35727,0.00813,0.000727662,0.000727662,0.000727662
45,624.312,1.07557,1.74581,0.00793,0.90722,0.71295,0.74339,0.64882,1.48295,2.31308,0.00815,0.000724371,0.000724371,0.000724371
46,637.19,1.06186,1.70719,0.00788,0.85595,0.73589,0.74348,0.64679,1.46419,2.25747,0.00826,0.000721014,0.000721014,0.000721014
47,650.427,1.08654,1.71363,0.00774,0.90234,0.72607,0.7527,0.6506,1.4624,2.20556,0.00799,0.000717593,0.000717593,0.000717593
48,663.772,1.07529,1.68287,0.00802,0.87553,0.73645,0.75689,0.65436,1.47442,2.16947,0.00817,0.000714108,0.000714108,0.000714108
49,677.814,1.06076,1.65225,0.00779,0.88015,0.73352,0.7522,0.65063,1.48081,2.2474,0.00817,0.00071056,0.00071056,0.00071056
50,691.004,1.09366,1.74572,0.00793,0.87683,0.72935,0.74702,0.6394,1.54533,2.32487,0.00906,0.000706949,0.000706949,0.000706949
51,705.326,1.11327,1.72949,0.00811,0.87327,0.73388,0.75022,0.65177,1.42648,2.12199,0.00804,0.000703277,0.000703277,0.000703277
52,718.782,1.05458,1.686,0.00764,0.89426,0.73596,0.75502,0.65758,1.4515,2.25117,0.0081,0.000699543,0.000699543,0.000699543
53,731.837,1.05796,1.66337,0.00779,0.88363,0.72361,0.74864,0.6437,1.51551,2.34042,0.00819,0.000695749,0.000695749,0.000695749
54,745.821,1.06497,1.64506,0.00782,0.87112,0.73031,0.75204,0.64776,1.46309,2.29968,0.00802,0.000691896,0.000691896,0.000691896
55,759.85,1.05125,1.66628,0.00777,0.88293,0.73124,0.75449,0.65781,1.46036,2.21644,0.00797,0.000687984,0.000687984,0.000687984
56,773.11,1.06975,1.66582,0.00781,0.8725,0.72992,0.75258,0.65255,1.47483,2.2512,0.00821,0.000684014,0.000684014,0.000684014
57,786.52,1.08259,1.70452,0.00769,0.89861,0.72176,0.75073,0.64763,1.46967,2.22819,0.00792,0.000679987,0.000679987,0.000679987
58,799.768,1.06052,1.63818,0.00763,0.89729,0.73054,0.75501,0.65873,1.43967,2.20184,0.00798,0.000675904,0.000675904,0.000675904
59,812.824,1.02933,1.59386,0.00741,0.87775,0.73619,0.75635,0.65995,1.45798,2.19708,0.00776,0.000671765,0.000671765,0.000671765
60,826.198,1.07911,1.67288,0.00792,0.91663,0.7355,0.762,0.66528,1.43024,2.07431,0.00781,0.000667572,0.000667572,0.000667572
61,840.271,1.07849,1.63003,0.00755,0.8979,0.73496,0.75609,0.65635,1.47273,2.22708,0.00809,0.000663325,0.000663325,0.000663325
62,853.668,1.05613,1.59415,0.00765,0.9188,0.72423,0.75557,0.65524,1.45266,2.16169,0.00795,0.000659025,0.000659025,0.000659025
63,867.676,1.05222,1.59684,0.00744,0.90908,0.72628,0.75734,0.65663,1.46107,2.16164,0.00805,0.000654673,0.000654673,0.000654673
64,881.686,1.03653,1.61957,0.00736,0.91555,0.72315,0.75731,0.663,1.43789,2.19576,0.00763,0.00065027,0.00065027,0.00065027
65,894.51,1.04608,1.59106,0.00731,0.88716,0.73684,0.75025,0.6566,1.43333,2.14531,0.00785,0.000645817,0.000645817,0.000645817
66,908.296,1.02768,1.6138,0.00748,0.88949,0.73874,0.75522,0.66103,1.43842,2.15279,0.00778,0.000641314,0.000641314,0.000641314
67,922.315,1.03723,1.5931,0.0074,0.8907,0.73576,0.758,0.66491,1.40391,2.15637,0.00775,0.000636763,0.000636763,0.000636763
68,935.471,1.03935,1.62561,0.00733,0.90183,0.7281,0.75611,0.66236,1.44272,2.16125,0.00772,0.000632165,0.000632165,0.000632165
69,948.338,1.01835,1.56916,0.00716,0.88754,0.73244,0.75185,0.65573,1.4835,2.22122,0.00796,0.00062752,0.00062752,0.00062752
70,962.352,1.04008,1.57941,0.00737,0.91222,0.73337,0.75678,0.66586,1.4241,2.16683,0.00761,0.000622829,0.000622829,0.000622829
71,975.822,1.04887,1.63192,0.00725,0.90168,0.73518,0.75853,0.66426,1.42924,2.1892,0.00776,0.000618094,0.000618094,0.000618094
72,989.255,1.03068,1.58836,0.00733,0.89303,0.72809,0.75477,0.66305,1.41603,2.168,0.00765,0.000613315,0.000613315,0.000613315
73,1003.18,1.04859,1.59012,0.00732,0.90088,0.73495,0.75662,0.66247,1.468,2.1762,0.00795,0.000608493,0.000608493,0.000608493
74,1016.41,1.03724,1.55184,0.00737,0.90613,0.72836,0.75319,0.65945,1.41503,2.19018,0.00791,0.00060363,0.00060363,0.00060363
75,1029.29,1.05657,1.55347,0.0074,0.899,0.7368,0.75463,0.66004,1.42247,2.21175,0.00761,0.000598726,0.000598726,0.000598726
