"host_time_iso","stedgeai_version","model_family","model_variant","hyperparameters","dataset","format","resolution","internal_ram_kib","external_ram_kib","weights_flash_kib","input_buffer_kib","output_buffer_kib","generated_model_dir"
"2026-03-31T17:31:15.909799+00:00","4.0.0","st_yoloxn","st_yoloxn_d100_w025_480","d100_w025","COCO-Person","Int8","480","2707.50","0.00","1173.25","675.00","332.23","network/st_yoloxn_d100_w025_480__int8"
"2026-03-31T17:31:38.428469+00:00","4.0.0","st_yoloxn","st_yoloxn_d100_w025_480","d100_w025","COCO-Person","W4A8","480","2707.50","0.00","868.80","675.00","83.06","network/st_yoloxn_d100_w025_480__w4a8"
"2026-03-31T17:35:47.039371+00:00","4.0.0","st_yoloxn","st_yoloxn_d100_w025_480_80cls","d100_w025","COCO-80","Int8","480","2595.00","843.75","1217.59","675.00","1176.64","network/st_yoloxn_d100_w025_480_80cls__int8"
"2026-03-31T17:36:46.963222+00:00","4.0.0","yolo11n","yolo11n_256","","COCO-Person","Int8","256","656.00","0.00","2535.83","192.00","26.25","network/yolo11n_256__int8"
"2026-03-31T17:37:10.517799+00:00","4.0.0","yolo26","yolo26_256","","COCO-Person","Int8","256","720.00","0.00","2341.33","192.00","6.56","network/yolo26_256__int8"
"2026-03-31T17:37:33.706675+00:00","4.0.0","yolo26","yolo26_320","","COCO-Person","Int8","320","920.80","0.00","2357.33","300.00","10.25","network/yolo26_320__int8"
"2026-03-31T17:37:45.391164+00:00","4.0.0","yolov8n","yolov8n_192","","COCO-Person","Int8","192","270.00","0.00","2936.52","108.00","14.77","network/yolov8n_192__int8"
"2026-03-31T17:37:56.351127+00:00","4.0.0","yolov8n","yolov8n_256","","COCO-Person","Int8","256","624.00","0.00","2941.09","192.00","26.25","network/yolov8n_256__int8"
"2026-03-31T17:38:07.622229+00:00","4.0.0","yolov8n","yolov8n_320","","COCO-Person","Int8","320","758.31","0.00","2947.02","300.00","41.02","network/yolov8n_320__int8"
"2026-03-31T17:38:18.860094+00:00","4.0.0","yolov8n","yolov8n_416","","COCO-Person","Int8","416","2067.88","0.00","2958.34","507.00","69.32","network/yolov8n_416__int8"
"2026-04-01T20:46:32.383922+00:00","4.0.0","tinyissimoyolo_v8","tinyissimoyolo_v8_192","","COCO-Person","Int8","192","252.00","0.00","971.80","108.00","3.69","network/tinyissimoyolo_v8_192__int8"
"2026-04-01T20:46:43.484624+00:00","4.0.0","tinyissimoyolo_v8","tinyissimoyolo_v8_256","","COCO-Person","Int8","256","544.00","0.00","976.38","192.00","6.56","network/tinyissimoyolo_v8_256__int8"
"2026-04-01T20:46:54.902965+00:00","4.0.0","tinyissimoyolo_v8","tinyissimoyolo_v8_288","","COCO-Person","Int8","288","688.50","0.00","979.19","243.00","8.31","network/tinyissimoyolo_v8_288__int8"
"2026-04-03T09:58:49.660332+00:00","4.0.0","tinyissimoyolo_v8","tinyissimoyolo_v8_320","","COCO-Person","Int8","320","700.00","0.00","982.30","300.00","10.25","network/tinyissimoyolo_v8_320__int8"
"2026-04-06T16:03:59.033503+00:00","4.0.0","yolo26","yolo26_320_fyp_merged","","FYP-Merged","Int8","320","900.00","0.00","2345.08","300.00","12.30","network/yolo26_320_fyp_merged__int8"
